,,,,,,,,,,,,,,,,,,,,Collection Date: 2022-04-08,,,Collection Date: 2022-04-22 to 2022-04-23,,,Collection Date: 2022-04-28 to 2022-04-29,,,Collection Date: 2022-05-04,,,Collection Date: 2022-05-12,,,Collection Date: 2022-05-19 ,,,Collection Date: 2022-05-25 to 2022-05-26,,,Collection Date: 2022-06-09,,,Collection Date: NA,,
Sequence,Block,Location,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),Total number of viable seeds counted across multiple dates,Identifier,Idnetifier,ff_date,Index Match ,Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Total number of all Open fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Sown Date ,Flowering Date ,Days from sown to flower ,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
717,2,63,BB_171,BB_171,1,0,63_BB_171_1,58_BB_50_6,NA,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,2,64,BB_20,BB_020,,0,64_BB_20_,59_BB_143_2,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,2,64,BB_51,BB_051,3,1,64_BB_51_3,59_BB_143_4,26-Mar,11-Mar,2,#REF!,0,#REF!,0,0,12/04/2022,,,1,,1,,,,2,,0,,,,,,,,,,,,,,,,,,
725,2,64,BB_51,BB_051,7,0,64_BB_51_7,59_BB_56_1,26-Mar,17-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,2,64,BB_51,BB_051,8,4,64_BB_51_8,59_BB_133_8,2-Apr,11-Mar,2,#REF!,4,#REF!,2,4,12/04/2022,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,
721,2,64,BB_69,BB_069,,0,64_BB_69_,59_BB_143_5,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,2,65,BB_52,BB_052,,0,65_BB_52_,59_BB_56_8,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,2,65,BB_135,BB_135,,0,65_BB_135_,60_BB_51_2,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,2,65,BB_150,BB_150,8,2,65_BB_150_8,60_BB_51_7,11-Mar,2-Apr,1,#REF!,2,#REF!,2,2,12/04/2022,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
753,2,66,BB_37,BB_037,,0,66_BB_37_,60_BB_85_8,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,2,66,BB_43,BB_043,,0,66_BB_43_,60_BB_152_7,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,2,66,BB_84,BB_084,,0,66_BB_84_,60_BB_152_8,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,2,67,BB_134,BB_134,,0,67_BB_134_,61_BB_78_8,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,2,67,BB_164,BB_164,2,0,67_BB_164_2,61_BB_147_6,NA,8-Apr,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
765,2,67,BB_204,BB_204,,0,67_BB_204_,62_BB_61_1,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,2,68,BB_121,BB_121,,0,68_BB_121_,62_BB_214_8,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,2,68,BB_218,BB_218,,0,68_BB_218_,62_BB_61_7,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,2,69,BB_81,BB_081,1,0,69_BB_81_1,62_BB_61_8,23-Apr,3-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,2,69,BB_163,BB_163,,0,69_BB_163_,63_BB_83_3,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,2,69,BB_199,BB_199,8,0,69_BB_199_8,63_BB_171_1,26-Mar,23-Apr,2,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,2,,0,,,,,,
789,W1,70,BB_20,BB_020,4,0,70_BB_20_4,63_BB_114_6,23-Apr,NA,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
793,W1,70,BB_61,BB_061,,0,70_BB_61_,63_BB_83_6,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,W1,70,BB_105,BB_105,,0,70_BB_105_,64_BB_51_3,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,2,71,BB_8,BB_008,8,0,71_BB_8_8,64_BB_51_3,11-Mar,23-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,2,71,BB_146,BB_146,2,1,71_BB_146_2,64_BB_51_7,17-Mar,29-Apr,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
805,2,71,BB_210,BB_210,1,3,71_BB_210_1,64_BB_51_7,17-Mar,26-Mar,1,#REF!,3,#REF!,3,3,12/04/2022,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,
817,2,72,BB_68,BB_068,,0,72_BB_68_,64_BB_51_8,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,2,72,BB_119,BB_119,6,0,72_BB_119_6,65_BB_52_4,26-Mar,26-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,
821,2,72,BB_195,BB_195,,0,72_BB_195_,65_BB_150_8,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,2,73,BB_24,BB_024,,0,73_BB_24_,67_BB_164_2,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,2,73,BB_45,BB_045,,0,73_BB_45_,68_BB_218_7,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,2,73,BB_216,BB_216,,0,73_BB_216_,69_BB_81_1,3-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,2,74,BB_40,BB_040,,0,74_BB_40_,69_BB_81_1,3-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,2,74,BB_64,BB_064,,0,74_BB_64_,69_BB_81_5,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,2,74,BB_157,BB_157,5,0,74_BB_157_5,69_BB_81_5,NA,2-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,2,75,BB_31,BB_031,3,0,75_BB_31_3,69_BB_199_8,23-Apr,17-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,2,75,BB_58,BB_058,,0,75_BB_58_,70_BB_20_4,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,2,75,BB_95,BB_095,,0,75_BB_95_,70_BB_105_4,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,2,76,BB_53,BB_053,7,4,76_BB_53_7,70_BB_20_7,4-May,26-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,
861,2,76,BB_85,BB_085,,0,76_BB_85_,70_BB_61_6,9-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,2,76,BB_161,BB_161,,0,76_BB_161_,71_BB_146_2,29-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,2,77,BB_32,BB_032,8,0,77_BB_32_8,71_BB_210_1,26-Mar,2-Apr,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
873,2,77,BB_104,BB_104,8,0,77_BB_104_8,71_BB_8_8,23-Apr,17-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,2,77,BB_151,BB_151,6,6,77_BB_151_6,72_BB_68_1,26-Mar,17-Mar,1,#REF!,6,#REF!,6,6,12/04/2022,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,
889,2,78,BB_9,BB_009,NF,0,78_BB_9_NF,72_BB_119_6,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,2,78,BB_18,BB_018,,0,78_BB_18_,72_BB_195_7,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,2,78,BB_209,BB_209,,0,78_BB_209_,73_BB_45_2,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,2,79,BB_72,BB_072,,0,79_BB_72_,73_BB_24_2,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,2,79,BB_76,BB_076,8,5,79_BB_76_8,73_BB_216_4,NA,11-Mar,3,#REF!,5,#REF!,1.666666667,5,12/04/2022,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,
905,2,79,BB_105,BB_105,5,0,79_BB_105_5,74_BB_64_1,17-Mar,#N/A,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
913,2,80,BB_19,BB_019,8,29,80_BB_19_8,74_BB_157_5,2-Apr,17-Mar,4,#REF!,29,#REF!,7.25,29,12/04/2022,,,,,,,,,,,,,,,1,,11,2,,16,1,,2,,,,,,
917,2,80,BB_145,BB_145,NF,0,80_BB_145_NF,75_BB_31_3,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,2,80,BB_207,BB_207,3,5,80_BB_207_3,75_BB_95_6,23-Apr,25-Mar,1,#REF!,5,#REF!,5,5,12/04/2022,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,
921,W1,80.5,BB_59,BB_059,2,3,80.5_BB_59_2,76_BB_161_2,2-Apr,17-Mar,2,#REF!,3,#REF!,1.5,3,12/04/2022,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,
929,W1,80.5,BB_102,BB_102,6,8,80.5_BB_102_6,76_BB_161_3,26-Mar,8-Apr,1,#REF!,8,#REF!,8,8,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,
929,W1,80.5,BB_102,BB_102,8,15,80.5_BB_102_8,76_BB_53_7,26-Mar,25-Mar,4,#REF!,15,#REF!,3.75,15,12/04/2022,,,,,,,,,1,,0,,,,,,,1,,9,2,,6,,,,,,
925,W1,80.5,BB_137,BB_137,5,3,80.5_BB_137_5,77_BB_32_1,2-Apr,25-Mar,1,#REF!,3,#REF!,3,3,12/04/2022,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
937,2,81,BB_3,BB_003,,0,81_BB_3_,77_BB_32_1,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,2,81,BB_113,BB_113,,0,81_BB_113_,77_BB_32_5,23-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,2,81,BB_159,BB_159,,0,81_BB_159_,77_BB_104_8,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,2,82,BB_25,BB_025,,0,82_BB_25_,77_BB_32_5,23-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,2,82,BB_42,BB_042,,0,82_BB_42_,77_BB_32_8,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,2,82,BB_131,BB_131,,0,82_BB_131_,77_BB_151_6,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,2,82,BB_166,BB_166,,0,82_BB_166_,78_BB_9_3,9-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,2,83,BB_39,BB_039,,0,83_BB_39_,78_BB_209_6,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,2,83,BB_93,BB_093,,0,83_BB_93_,79_BB_105_1,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,2,83,BB_102,BB_102,8,4,83_BB_102_8,79_BB_76_8,11-Mar,25-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,
961,2,83,BB_102,BB_102,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,2,83,BB_109,BB_109,,0,83_BB_109_,79_BB_72_6,19-May,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,2,84,BB_152,BB_152,,0,84_BB_152_,80_BB_207_3,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,2,84,BB_186,BB_186,,0,84_BB_186_,80_BB_145_3,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,2,84,BB_187,BB_187,,0,84_BB_187_,80_BB_19_8,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,2,85,BB_2,BB_002,,0,85_BB_2_,80.5_BB_59_2,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,2,85,BB_29,BB_029,4,1,85_BB_29_4,80.5_BB_137_1,NA,2-Apr,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
1001,2,85,BB_79,BB_079,2,7,85_BB_79_2,80.5_BB_137_2,2-Apr,2-Apr,1,#REF!,7,#REF!,7,7,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,
1001,2,85,BB_79,BB_079,3,2,85_BB_79_3,80.5_BB_102_4,2-Apr,25-Mar,2,#REF!,2,#REF!,1,2,12/04/2022,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,
993,2,85,BB_193,BB_193,6,0,85_BB_193_6,80.5_BB_137_1,NA,17-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
1017,2,86,BB_77,BB_077,4,0,86_BB_77_4,80.5_BB_102_4,2-Apr,25-Feb,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,2,86,BB_103,BB_103,1,8,86_BB_103_1,80.5_BB_137_5,25-Mar,11-Mar,2,#REF!,8,#REF!,4,8,12/04/2022,,,,,,,,,,,,,,,2,,8,,,,,,,,,,,,
1009,2,86,BB_179,BB_179,2,3,86_BB_179_2,80.5_BB_102_8,25-Mar,11-Mar,1,#REF!,3,#REF!,3,3,12/04/2022,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,
1005,2,86,BB_189,BB_189,7,9,86_BB_189_7,80.5_BB_59_7,NA,4-Mar,5,#REF!,9,#REF!,1.8,9,12/04/2022,,,,,,2,,7,3,,2,,,,,,,,,,,,,,,,,,
1029,2,87,BB_87,BB_087,,0,87_BB_87_,80.5_BB_137_5,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,2,87,BB_126,BB_126,8,4,87_BB_126_8,80.5_BB_102_6,8-Apr,25-Mar,3,#REF!,4,#REF!,1.333333333,4,12/04/2022,,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,
1021,2,87,BB_137,BB_137,,0,87_BB_137_,80.5_BB_102_8,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,2,87,BB_206,BB_206,2,2,87_BB_206_2,81_BB_113_3,NA,25-Feb,1,#REF!,2,#REF!,2,2,12/04/2022,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,
1037,2,88,BB_17,BB_017,2,2,88_BB_17_2,81_BB_113_4,23-Apr,25-Feb,1,#REF!,2,#REF!,2,2,12/04/2022,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,
1045,2,88,BB_116,BB_116,,0,88_BB_116_,81_BB_159_2,23-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,2,88,BB_140,BB_140,,0,88_BB_140_,81_BB_159_5,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,2,88,BB_149,BB_149,8,0,88_BB_149_8,82_BB_25_4,11-Mar,23-Apr,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
1057,2,89,BB_139,BB_139,,0,89_BB_139_,82_BB_131_8,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,2,89,BB_154,BB_154,,0,89_BB_154_,83_BB_102_4,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,2,89,BB_185,BB_185,,0,89_BB_185_,83_BB_39_4,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,2,89,BB_208,BB_208,,0,89_BB_208_,83_BB_109_3,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,W1,90,BB_24,BB_024,,0,90_BB_24_,83_BB_102_4,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,W1,90,BB_79,BB_079,,0,90_BB_79_,83_BB_102_8,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,W1,90,BB_164,BB_164,7,0,90_BB_164_7,83_BB_102_6,2-Apr,2-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,2,91,BB_7,BB_007,,0,91_BB_7_,83_BB_102_8,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,2,91,BB_49,BB_049,,0,91_BB_49_,83_BB_93_6,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,2,91,BB_70,BB_070,,0,91_BB_70_,83_BB_39_5,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,2,91,BB_158,BB_158,,0,91_BB_158_,84_BB_187_1,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,2,92,BB_10,BB_010,,0,92_BB_10_,84_BB_187_3,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,2,92,BB_80,BB_080,,0,92_BB_80_,84_BB_186_8,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,2,92,BB_117,BB_117,,0,92_BB_117_,84_BB_187_6,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,2,92,BB_160,BB_160,8,8,92_BB_160_8,85_BB_29_4,2-Apr,11-Mar,2,#REF!,8,#REF!,4,8,12/04/2022,,,,,,,,,,,,2,,8,,,,,,,,,,,,,,,
1113,2,93,BB_4,BB_004,,0,93_BB_4_,85_BB_2_3,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,2,93,BB_132,BB_132,,0,93_BB_132_,85_BB_79_2,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,2,93,BB_138,BB_138,,0,93_BB_138_,85_BB_79_3,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,2,93,BB_172,BB_172,,0,93_BB_172_,85_BB_79_3,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,2,94,BB_13,BB_013,4,0,94_BB_13_4,85_BB_79_7,25-Mar,18-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,2,94,BB_94,BB_094,,0,94_BB_94_,85_BB_193_6,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,2,94,BB_101,BB_101,,0,94_BB_101_,85_BB_79_7,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,2,95,BB_63,BB_063,,0,95_BB_63_,86_BB_179_2,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,2,95,BB_88,BB_088,,0,95_BB_88_,86_BB_103_1,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,2,95,BB_201,BB_201,,0,95_BB_201_,86_BB_77_4,25-Feb,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,2,96,BB_44,BB_044,,0,96_BB_44_,86_BB_189_7,4-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,2,96,BB_98,BB_098,,0,96_BB_98_,86_BB_77_5,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,2,96,BB_200,BB_200,,0,96_BB_200_,86_BB_77_7,25-Feb,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,2,96,BB_205 B,BB_205 B,NA,0,96_BB_205 B_NA,87_BB_137_2,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,2,97,BB_60,BB_060,,0,97_BB_60_,87_BB_206_2,25-Feb,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,2,97,BB_71,BB_071,,0,97_BB_71_,87_BB_87_5,18-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
