Transect,Sequence,Recipient,Plant ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,# of Anthers,Corolla area (mm^2),Maximum corolla diameter (mm),"Notes (highlight key: purple=HEIC file, orange=something wrong with data, green=where John M left off)",URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Rosette Diameter (mm),Rosette Radius (center to tip of farthest extruding leaf),Units
12,1534,BO_001,3,,,,,,,https://drive.google.com/file/d/12F2ypilcCUiglH4HP0lvdFd8C5ty3bGK/view?usp=sharing,2022-04-01,,,
12,1534,BO_001,4,,,,,,,,,,,
12,1535,BO_001,5,,,,,,,,,,,
12,1535,BO_001,6,,,,,,,,,,,
12,1536,BO_001,7,,,,,,,,,,,
12,1536,BO_001,8,https://drive.google.com/file/d/1D7ioJmS8CkhrZmO24d5y_dIw2-C9XwTh/view?usp=sharing,2022-04-08,,,,petals missing,https://drive.google.com/file/d/1lMgHk9UMHvEVjjV7qR06Ie3K2pqAL0Ft/view?usp=sharing,2022-04-08,,,
12,1536,BO_001,8,https://drive.google.com/file/d/1GktM31UHCbVcOMF5Eo4_xTQOt-gNitb3/view?usp=sharing,2022-04-21,,584.185,31.062,,,,,,
12,1537,BO_153,1,,,,,,,,,,,
12,1537,BO_153,2,,,,,,,,,,,
12,1538,BO_153,3,,,,,,,,,,,
12,1538,BO_153,4,,,,,,,,,,,
12,1539,BO_153,5,,,,,,,,,,,
12,1539,BO_153,6,,,,,,,,,,,
12,1540,BO_153,7,,2022-03-25,,,,,https://drive.google.com/file/d/1hPdTEvgVtPv4xpbUw9r66E-n5pmr5pjO/view?usp=sharing,,,,
12,1540,BO_153,8,,,,,,,,,,,
12,1541,BO_111,1,,,,,,,,,,,
12,1541,BO_111,2,https://drive.google.com/file/d/1HgH6IzFv6T_iqfKztHpEI2w-AWmneGVi/view?usp=sharing,2022-04-08,,171.841,16.365,,https://drive.google.com/file/d/1im35TgFchCCkPxlc_UT7sQz4xcxOxRHS/view?usp=sharing,2022-04-08,,,
12,1542,BO_111,3,,,,,,,,,,,
12,1542,BO_111,4,,,,,,,,,,,
12,1543,BO_111,5,,,,,,,,,,,
12,1543,BO_111,6,,,,,,,,,,,
12,1544,BO_111,7,,,,,,,,,,,
12,1544,BO_111,8,,,,,,,,,,,
12,1545,BO_009,1,,,,,,,,,,,
12,1545,BO_009,2,,,,,,,,,,,
12,1546,BO_009,3,https://drive.google.com/file/d/1s2E_xvDbAnQFJ7wo4F60Vu2EBdU0BEHF/view?usp=sharing,2022-04-27,,299.229,21.485,,https://drive.google.com/file/d/1khjyTsVdZb8YbDn1dLxQl9_HJ1Fg2n4p/view?usp=sharing,2022-04-27,,,
12,1546,BO_009,4,,,,,,,,,,,
12,1547,BO_009,5,,,,,,,,,,,
12,1547,BO_009,6,,,,,,,,,,,
12,1548,BO_009,7,,,,,,,,,,,
12,1548,BO_009,8,,,,,,,,,,,
12,1549,BO_086,1,,,,,,,,,,,
12,1549,BO_086,2,,,,,,,,,,,
12,1550,BO_086,3,,,,,,,,,,,
12,1550,BO_086,4,,,,,,,,,,,
12,1551,BO_086,5,https://drive.google.com/file/d/1j58zBrcB8v4rUer88oy6s3vEbCQhTsfF/view?usp=sharing,2022-04-08,,223.798,19.165,,https://drive.google.com/file/d/18th3Dq3tLrM4YEv50X1r3gWr9dhgAZ0C/view?usp=sharing,2022-04-08,41.128,23.265,
12,1551,BO_086,6,https://drive.google.com/file/d/1ZwIco6qpDdMxZKh-1tV1fit8FCktBgir/view?usp=sharing,2022-04-01,,237.121,20.272,,https://drive.google.com/file/d/16rw3zSSsuiUQLRXdVzX5clq5USPRFhe9/view?usp=sharing,2022-04-01,48.712,29.712,
12,1552,BO_086,7,https://drive.google.com/file/d/1WbAvMx4NQPeCxc-5BYSO2DoilMLXgOqU/view?usp=sharing,2022-04-08,,272.449,20.599,,https://drive.google.com/file/d/1kuyXYrauSk5mtmzoXeIUAbLzOwc5uBjC/view?usp=sharing,2022-04-08,48.134,25.013,
12,1552,BO_086,8,https://drive.google.com/file/d/1P3zDVknNX60kieRfo927QeOEQk0U3isq/view?usp=sharing,2022-04-08,,190.024,18.064,,https://drive.google.com/file/d/1GBft3FCkqCUV9xe36aywt8zNohbS2-7V/view?usp=sharing,2022-04-08,22.772,18.068,
12,1553,BO_096,1,,,,,,,https://drive.google.com/file/d/1J6wPxi3EoOAIft24kbRBhiRzYUIdUyko/view?usp=sharing,2022-04-08,85.702,45.181,
12,1553,BO_096,2,,,,,,,,,,,
12,1554,BO_096,3,,,,,,,,,,,
12,1554,BO_096,4,,,,,,,,,,,
12,1555,BO_096,5,,,,,,,,,,,
12,1555,BO_096,6,,,,,,,,,,,
12,1556,BO_096,7,,,,,,,,,,,
12,1556,BO_096,8,https://drive.google.com/file/d/1n9WOpvIo2CW6olKt2MT3ToouIH0uUWgH/view?usp=sharing,2022-04-01,,98.864,12.445,,https://drive.google.com/file/d/1jj2UOFUcHT8cZ8hmhVUjouiPO6Fy1ij_/view?usp=sharing,2022-04-01,60.952,39.107,
12,1557,BO_151,1,,,,,,,,,,,
12,1557,BO_151,2,https://drive.google.com/file/d/1hLT2Hk74b3MogDUzt8WRcpKzv-729bd-/view?usp=sharing,2022-03-25,,263.261,20.15,,https://drive.google.com/file/d/1hOZxIRaplTM1zwOkIr7BP1k5XWtykaWI/view?usp=sharing,2022-03-25,31.517,16.319,
12,1558,BO_151,3,https://drive.google.com/file/d/1pC_DAkyhIFXKx5KkQAgBxu4awxXsL8wc/view?usp=sharing,2022-04-01,,296.701,23.524,,https://drive.google.com/file/d/13CHsLhCUqUktcDX4QlyhYFBVAW0FW60X/view?usp=sharing,2022-04-01,84.677,44.591,
12,1558,BO_151,4,https://drive.google.com/file/d/192kAKDcTgiHRD2922VdYui9S2gyMWybQ/view?usp=sharing,2022-04-01,,382.466,24.179,,https://drive.google.com/file/d/1Z4uwe2kKBLRlgci7y29Qgn4wDtc6EZhl/view?usp=sharing,2022-04-01,71.089,40.715,
12,1559,BO_151,5,,,,,,,,,,,
12,1559,BO_151,6,,,,,,,,,,,
12,1560,BO_151,7,,,,,,,,,,,
12,1560,BO_151,8,,,,,,,,,,,
12,1561,BO_167,1,,,,,,,,,,,
12,1561,BO_167,2,https://drive.google.com/file/d/1r4xLtH_Xsg8YZjvU5Y2evrsvgvVkmu3K/view?usp=sharing,2022-04-01,,221.002,19.949,,https://drive.google.com/file/d/17Va3JpRkj0pkFg6M6hdfG6GoOK8tw2j-/view?usp=sharing,2022-04-01,32.969,19.143,
12,1562,BO_167,3,https://drive.google.com/file/d/1y5XAuLajsu3TFf_bvaZmHNZbVuHQVw3C/view?usp=sharing,2022-04-01,,311.61,22.05,,https://drive.google.com/file/d/1P6NBiJcUkFAT-_qK3EExPxZFV53irym1/view?usp=sharing,2022-04-01,74.719,42.68,
12,1562,BO_167,4,,,,,,,,,,,
12,1563,BO_167,5,https://drive.google.com/file/d/1Ccn7WNyXbsLhu7Lhz8qgFOtxFs09kfUW/view?usp=sharing,2022-04-01,,354.799,25.582,,https://drive.google.com/file/d/1kqp7JHBgj69CmgCmIkP4CFwh0tHFSoEk/view?usp=sharing,2022-04-01,57.931,29.953,
12,1563,BO_167,6,https://drive.google.com/file/d/1BtsetgQcHFcbprC9_5SJ0eemiNSVeE1D/view?usp=sharing,2022-04-08,,292.253,23.807,,https://drive.google.com/file/d/1r8uW2r1hjTGE6u-d6aq1iQDfPPRIen6s/view?usp=sharing,2022-04-08,60.701,33.509,
12,1564,BO_167,7,,,,,,,,,,,
12,1564,BO_167,8,,,,,,,,,,,
12,1565,BO_132,1,,,,,,,,,,,
12,1565,BO_132,2,https://drive.google.com/file/d/1f3P3LwJJgTLKYDg5x1PKwIj1eLBCY44t/view?usp=sharing,2022-04-01,,129.203,15.027,"REMOVE - missing petal, area invalid",https://drive.google.com/file/d/13m54yNKubQtpzp8aKJwbFRiWO3ETv3Yg/view?usp=sharing,2022-04-01,106.546,56.771,
12,1566,BO_132,3,,,,,,,,,,,
12,1566,BO_132,4,https://drive.google.com/file/d/1y6z0C2DV9fXZbAikftiSAuKjW89MBuQY/view?usp=sharing,2022-04-21,,494.838,29.182,,https://drive.google.com/file/d/1gxxXa2rmajNaYBm90B6KDHSr1mW3doPQ/view?usp=sharing,2022-04-21,93.287,58.142,
12,1567,BO_132,5,,,,,,,,,,,
12,1567,BO_132,6,,,,,,,,,,,
12,1568,BO_132,7,,,,,,,,,,,
12,1568,BO_132,8,,,,,,,,,,,
12,1569,BO_014,1,https://drive.google.com/file/d/1c-0lzb0dVwiXnP7F4PvWl_dV2SQMozTb/view?usp=sharing,2022-05-20,4,245.82,20.337,,https://drive.google.com/file/d/1c3RtE9EuIErqgSHNdBAWiW9L7iDdmfUo/view?usp=sharing,,79.173,47.652,
12,1569,BO_014,2,,,,,,,,,,,
12,1570,BO_014,3,,,,,,,,,,,
