Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
21,1,21R,G2,HR_070,HR_061,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,2.94,X,0,0,0,0,0,,0,1,0,0,0
22,1,22L,G1,HR_155,HR_047,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,6.02,-,1,0,0,5,1,0,0,1,1,1,0
22,1,22R,G1,HR_008,HR_058,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,1.79,-,1,0,3,4,1,3,3,1,1,1,1
23,1,23L,G2,HR_053,HR_169,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,2023-05-16,2023-04-20,,,,7.41,X,2,0,1,6,2,0.5,1,1,1,1,1
23,1,23R,G2,HR_110,HR_032,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,6.86,X,3,0,7,9,3,2.333333333,7,1,1,1,1
24,1,24R,G2,HR_155,HR_121,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,,X,0,0,0,0,0,,0,1,0,0,0
25,1,25L,G2,HR_147,HR_118,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,,,,28.65,X,8,3,7,28,11,0.875,9.625,1,1,1,1
25,1,25R,G2,HR_095,HR_020,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,3.38,X,1,0,1,4,1,1,1,1,1,1,1
26,1,26L,G1,HR_100,HR_135,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,5.58,-,0,0,0,0,0,,0,1,0,0,0
26,1,26R,G2,HR_139,HR_062,2,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,,X,3,0,0,4,3,0,0,0,1,1,0
27,1,27L,G1,HR_115,HR_111,5,TRUE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,,,,,2.08,-,1,0,1,2,1,1,1,1,1,1,1
27,1,27R,G1,HR_074,HR_070,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,1,,,22.4,-,4,2,1,7,6,0.25,1.5,1,1,1,1
28,1,28L,G1,HR_196,HR_183,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,,-,2,0,0,2,2,0,0,1,1,1,0
28,1,28R,G2,HR_064,HR_028,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-16,26,,2023-04-20,1,1,,,X,0,2,0,0,2,,,1,1,0,0
29,1,29L,G1,HR_062,HR_136,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,5.77,-,3,0,1,6,3,0.3333333333,1,1,1,1,1
29,1,29R,G1,HR_115,HR_131,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,1,,,2.88,-,2,0,9,13,2,4.5,9,1,1,1,1
