Sequence,Location,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes,latitude,longitude
7,3,7L,G2,BB_162,BB_154,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
7,3,7L,G2,BB_162,BB_154,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
7,3,7R,G2,BB_066,BB_052,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
7,3,7R,G2,BB_066,BB_052,2,FALSE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-02-15,,2023-03-15,,,,2023-05-10,,,2023-05-10,2023-02-15,1,,,,,38.31512,-123.06909
7,3,7R,G2,BB_066,BB_052,3,FALSE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-15,0,,,2023-03-15,,,,,,,,,,,,,,38.31512,-123.06909
7,3,7R,G2,BB_066,BB_052,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,,,2023-03-15,,,2023-04-26,,,,,2023-03-15,,,,7-Jun,,38.31512,-123.06909
7,3,7R,G2,BB_066,BB_052,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
8,3,8L,G1,BB_023,BB_206,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
8,3,8L,G1,BB_023,BB_206,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
8,3,8L,G1,BB_023,BB_206,3,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-26,56,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,,,,,2023-03-01,,,,25-May,,38.31512,-123.06909
8,3,8L,G1,BB_023,BB_206,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
8,3,8L,G1,BB_023,BB_206,5,FALSE,2022-10-03,2022-10-06,2023-04-11,190,187,2023-04-11,0,,,,,2023-04-11,,,,,,,,,,,,38.31512,-123.06909
8,3,8R,G1,BB_174,BB_068,1,FALSE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-15,0,,,2023-03-15,,,,,,,,,,,,,,38.31512,-123.06909
8,3,8R,G1,BB_174,BB_068,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
8,3,8R,G1,BB_174,BB_068,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
8,3,8R,G1,BB_174,BB_068,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,,,2023-03-15,2023-03-29,2023-04-11,2023-04-26,,,,,2023-03-15,,,,25-May,,38.31512,-123.06909
8,3,8R,G1,BB_174,BB_068,5,FALSE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-03-01,0,,2023-03-01,,,,,,,,,,,,,,,38.31512,-123.06909
9,3,9L,G2,BB_213,BB_147,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
9,3,9L,G2,BB_213,BB_147,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
9,3,9L,G2,BB_213,BB_147,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
9,3,9L,G2,BB_213,BB_147,4,FALSE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-03-29,0,,,,2023-03-29,,,,,,,,,,,,,38.31512,-123.06909
9,3,9L,G2,BB_213,BB_147,5,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-11,13,,,,2023-03-29,2023-04-11,,,,,,,,,,25-May,,38.31512,-123.06909
9,3,9R,G1,BB_026,BB_053,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
9,3,9R,G1,BB_026,BB_053,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
9,3,9R,G1,BB_026,BB_053,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
9,3,9R,G1,BB_026,BB_053,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
9,3,9R,G1,BB_026,BB_053,5,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,,,,,,2023-03-01,,,,25-May,,38.31512,-123.06909
10,4,10L,G2,BB_108,BB_069,1,FALSE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-03-29,0,,,,2023-03-29,,,,,,,,,,,,,38.31509,-123.06911
10,4,10L,G2,BB_108,BB_069,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
10,4,10L,G2,BB_108,BB_069,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
10,4,10L,G2,BB_108,BB_069,4,FALSE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-27,57,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-27,,,,2023-05-10,,,,,,,38.31509,-123.06911
10,4,10L,G2,BB_108,BB_069,5,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,,,,,,2023-03-01,,,,25-May,,38.31509,-123.06911
10,4,10R,G1,BB_142,BB_086,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,,,2023-03-15,2023-03-29,2023-04-11,2023-04-27,,,,,2023-03-15,,,,25-May,,38.31509,-123.06911
10,4,10R,G1,BB_142,BB_086,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
10,4,10R,G1,BB_142,BB_086,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
10,4,10R,G1,BB_142,BB_086,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
10,4,10R,G1,BB_142,BB_086,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11L,G2,BB_217,BB_054,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11L,G2,BB_217,BB_054,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11L,G2,BB_217,BB_054,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11L,G2,BB_217,BB_054,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11L,G2,BB_217,BB_054,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11R,G1,BB_011,BB_215,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11R,G1,BB_011,BB_215,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11R,G1,BB_011,BB_215,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11R,G1,BB_011,BB_215,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
11,4,11R,G1,BB_011,BB_215,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,,,2023-03-15,2023-03-29,2023-04-11,2023-04-27,,,,2023-06-07,2023-03-29,,,,7-Jun,retake if possible,38.31509,-123.06911
12,4,12L,G1,BB_125,BB_051,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
12,4,12L,G1,BB_125,BB_051,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
12,4,12L,G1,BB_125,BB_051,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
12,4,12L,G1,BB_125,BB_051,4,FALSE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,,,2023-03-15,2023-03-29,2023-04-11,2023-04-27,,,,2023-05-10,,,,,,,38.31509,-123.06911
