Sequence,Location,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,latitude,longitude,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
287,96,287L,G1,BB_194,BB_163,2,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-03-15,,,,77.18,38.31371,-123.06944,-,2,0,0,1,2,0,0,1,1,0
287,96,287R,G1,BB_108,BB_097,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-29,,,,,38.31371,-123.06944,-,0,0,0,0,0,0,0,1,0,0
288,96,288L,G1,BB_055,BB_145,1,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,"3/2/2023,3/15",,,,326.98,38.31371,-123.06944,-,15,0,76,86,15,5.066666667,76,1,1,1
288,96,288R,G2,BB_213,BB_147,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-29,,,,21.86,38.31371,-123.06944,X,0,3,0,0,3,0,0,1,1,0
289,97,289L,G1,BB_057,BB_146,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,97.58,38.31367,-123.0694,-,2,0,0,0,2,0,0,1,1,0
289,97,289R,G1,BB_122,BB_208,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-03-15,,,,66.07,38.31367,-123.0694,-,1,0,0,0,1,0,0,1,1,0
290,97,290L,G2,BB_107,BB_179,3,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-13,56,,,,,,2023-03-15,,,,34.93,38.31367,-123.0694,X,0,4,0,0,4,0,0,1,1,0
290,97,290R,G1,BB_075,BB_164,1,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,2023-03-02,,,,19.7,38.31367,-123.0694,-,1,1,5,5,2,5,10,1,1,1
291,97,291L,G1,BB_141,BB_037,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-11,57,2023-04-27,2023-05-11,,,2023-05-25,2023-03-15,1,,,242.85,38.31367,-123.0694,-,3,0,0,0,3,0,0,1,1,0
291,97,291R,G2,BB_066,BB_052,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-11,57,2023-04-27,2023-05-11,,,,2023-03-15,1,,,106.6,38.31367,-123.0694,X,0,1,0,0,1,0,0,1,1,0
292,98,292R,G1,BB_188,BB_205B,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-03-29,,,,85.54,38.31363,-123.06937,-,2,0,3,3,2,1.5,3,1,1,1
293,98,293L,G1,BB_091,BB_094,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-29,14,,,,,,2023-03-29,,,,5.84,38.31363,-123.06937,-,2,0,4,6,2,2,4,1,1,1
293,98,293R,G1,BB_215,BB_148,5,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-27,29,2023-04-27,,,,,,,,,25.69,38.31363,-123.06937,-,2,0,10,10,2,5,10,1,1,1
295,99,295L,G2,BB_197,BB_060,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,2023-04-13,,,,26.12,38.31359,-123.06928,X,4,0,14,15,4,3.5,14,1,1,1
295,99,295R,G2,BB_198,BB_138,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-03-15,13,,,,,,2023-03-02,,,,,38.31359,-123.06928,X,0,0,0,0,0,0,0,1,0,0
297,99,297R,G1,BB_144,BB_207,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-15,0,,,,,,,,,,,38.31359,-123.06928,-,0,0,0,0,0,0,0,1,0,0
298,100,298L,G1,BB_168,BB_081,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-29,14,,,,,2023-05-25,2023-03-29,,,,33.08,38.31353,-123.06927,-,3,0,24,26,3,8,24,1,1,1
298,100,298R,G2,BB_066,BB_087,4,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-05-11,70,2023-04-27,2023-05-11,,,,2023-03-02,1,,,124.71,38.31353,-123.06927,X,4,3,3,5,7,0.75,5.25,1,1,1
299,100,299R,G1,BB_051,BB_143,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,"3/2/2023,3/15",,,,,38.31353,-123.06927,-,0,0,0,0,0,0,0,1,0,0
300,100,300L,G1,BB_176,BB_049,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,4.27,38.31353,-123.06927,-,0,0,0,0,0,0,0,1,0,0
300,100,300R,G1,BB_057,BB_121,1,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-05-11,43,2023-04-27,2023-05-11,,,,2023-03-29,1,,,83.1,38.31353,-123.06927,-,5,0,19,20,5,3.8,19,1,1,1
301,101,301L,G2,BB_174,BB_002,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,,,,,33.73,38.31353,-123.06926,X,2,0,2,3,2,1,2,1,1,1
301,101,301R,G1,BB_213,BB_132,1,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-03-29,27,,,,,,2023-03-02,,,,87.87,38.31353,-123.06926,-,2,1,4,4,3,2,6,1,1,1
302,101,302L,G1,BB_075,BB_085,4,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,256.79,38.31353,-123.06926,-,3,3,7,7,6,2.333333333,14,1,1,1
