Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FD_01,FD_02,FD_03,FD_04,FD_05,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
9,1,9R,G1,AC_068,AC_089,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
9,1,9R,G1,AC_068,AC_089,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
9,1,9R,G1,AC_068,AC_089,3,TRUE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,2023-06-08,
9,1,9R,G1,AC_068,AC_089,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
9,1,9R,G1,AC_068,AC_089,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
10,1,10L,G2,AC_052,AC_212,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,2023-04-28,,,,,
10,1,10L,G2,AC_052,AC_212,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
10,1,10L,G2,AC_052,AC_212,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
10,1,10L,G2,AC_052,AC_212,4,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,,,1,,2023-06-08,
10,1,10L,G2,AC_052,AC_212,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
10,1,10R,G1,AC_052,AC_212,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
10,1,10R,G1,AC_052,AC_212,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
10,1,10R,G1,AC_052,AC_212,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
10,1,10R,G1,AC_052,AC_212,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
10,1,10R,G1,AC_052,AC_212,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
11,1,11L,G1,AC_195,AC_179,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
11,1,11L,G1,AC_195,AC_179,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
11,1,11L,G1,AC_195,AC_179,3,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,1,,2023-06-08,
11,1,11L,G1,AC_195,AC_179,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,,,,,,
11,1,11L,G1,AC_195,AC_179,5,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
11,1,11R,G2,AC_159,AC_192,1,TRUE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,2023-06-08,
11,1,11R,G2,AC_159,AC_192,2,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,,
11,1,11R,G2,AC_159,AC_192,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
11,1,11R,G2,AC_159,AC_192,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,,,,2023-04-28,193,189,2023-04-28,0,,,,,,,
11,1,11R,G2,AC_159,AC_192,5,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
12,1,12L,G2,AC_177,AC_107,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
12,1,12L,G2,AC_177,AC_107,2,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2023-06-08,
12,1,12L,G2,AC_177,AC_107,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
12,1,12L,G2,AC_177,AC_107,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
12,1,12L,G2,AC_177,AC_107,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
12,1,12R,G2,AC_008,AC_188,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
12,1,12R,G2,AC_008,AC_188,2,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,1,,2023-06-08,
12,1,12R,G2,AC_008,AC_188,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
12,1,12R,G2,AC_008,AC_188,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
12,1,12R,G2,AC_008,AC_188,5,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,2023-05-12,,,,,,
13,1,13L,G1,AC_008,AC_068,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,,,,,,
13,1,13L,G1,AC_008,AC_068,2,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,,,,,,
13,1,13L,G1,AC_008,AC_068,3,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,1,,2023-06-22,
13,1,13L,G1,AC_008,AC_068,4,FALSE,2022-10-17,2022-10-21,,,2023-05-12,2023-05-26,,2023-05-12,207,203,2023-05-26,14,2023-05-12,,,,,,
13,1,13L,G1,AC_008,AC_068,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
13,1,13R,G2,AC_068,AC_195,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,2023-05-12,,,,,,
13,1,13R,G2,AC_068,AC_195,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
13,1,13R,G2,AC_068,AC_195,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
13,1,13R,G2,AC_068,AC_195,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
13,1,13R,G2,AC_068,AC_195,5,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2023-06-22,
14,1,14L,G1,AC_039,AC_148,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
14,1,14L,G1,AC_039,AC_148,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
14,1,14L,G1,AC_039,AC_148,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
14,1,14L,G1,AC_039,AC_148,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
14,1,14L,G1,AC_039,AC_148,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
14,1,14R,G1,AC_216,AC_034,1,TRUE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,2023-06-08,
14,1,14R,G1,AC_216,AC_034,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
14,1,14R,G1,AC_216,AC_034,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
14,1,14R,G1,AC_216,AC_034,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,2023-05-12,2023-04-28,,,,,
14,1,14R,G1,AC_216,AC_034,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
15,1,15L,G2,AC_159,AC_094,1,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,,
15,1,15L,G2,AC_159,AC_094,2,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2023-06-08,
15,1,15L,G2,AC_159,AC_094,3,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
