Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
140,4,33R,G2,AC_097,AC_064,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,1.99,X,0,1,0,0,1,0,0,1,1,0
141,4,34L,G2,AC_007,AC_147,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,2023-04-28,,,,3.05,X,0,2,0,0,2,0,0,1,1,0
141,4,34R,G2,AC_052,AC_131,3,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-04-28,14,,2023-04-14,,,,5.96,X,0,6,0,0,6,0,0,1,1,0
142,4,35R,G1,AC_165,AC_062,3,TRUE,2022-10-17,2022-10-21,,,,,,,,,,,30.64,-,4,4,21,26,8,5.25,42,0,1,1
143,4,36L,G2,AC_168,AC_159,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,2023-04-28,,,,,X,1,1,5,7,2,5,10,1,1,1
143,4,36R,G2,AC_168,AC_159,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,11.78,X,1,3,4,6,4,4,16,1,1,1
144,5,1L,G1,AC_094,AC_109,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,,2023-05-12,4,1,,39.44,-,5,0,0,33,5,0,0,1,1,0
144,5,1R,G1,AC_186,AC_153,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,2,,,32.25,-,6,0,3,22,6,0.5,3,1,1,1
145,5,2L,G1,AC_150,AC_200,5,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,2023-05-12,2,,,5.34,-,3,0,0,6,3,0,0,1,1,0
145,5,2R,G1,AC_179,AC_171,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-06-09,28,,2023-05-12,1,,,17.36,-,4,0,1,9,4,0.25,1,1,1,1
146,5,3L,G2,AC_096,AC_128,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,2,,,21.13,X,5,1,8,12,6,1.6,9.6,1,1,1
146,5,3R,G2,AC_054,AC_046,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,,2023-05-12,1,1,,37.29,X,7,2,17,62,9,2.428571429,21.85714286,1,1,1
147,5,4L,G1,AC_216,AC_058,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,2023-05-12,2023-05-12,1,,,38.41,-,13,2,37,65,15,2.846153846,42.69230769,1,1,1
147,5,4R,G1,AC_068,AC_195,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,1,,,18.3,-,6,2,31,42,8,5.166666667,41.33333333,1,1,1
148,5,5L,G2,AC_172,AC_208,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-05-12,1,,,3.05,X,2,0,4,5,2,2,4,1,1,1
148,5,5R,G2,AC_102,AC_178,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,2,1,,13.18,X,11,0,12,43,11,1.090909091,12,1,1,1
149,5,6R,G2,AC_168,AC_010,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-05-12,2,,,20.49,X,6,0,4,4,6,0.6666666667,4,1,1,1
150,5,7L,G1,AC_008,AC_068,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,,,0,,,13.03,-,5,2,13,18,7,2.6,18.2,1,1,1
150,5,7R,G2,AC_008,AC_188,2,TRUE,2022-10-17,2022-10-21,,,,,,,,,,,0.43,X,0,0,0,0,0,0,0,0,0,0
151,5,8L,G1,AC_165,AC_206,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,0,,,10.64,-,3,2,1,4,5,0.3333333333,1.666666667,1,1,1
151,5,8R,G2,AC_089,AC_032,4,TRUE,2022-10-17,2022-10-21,,,,,,,,,,,5.64,X,0,0,0,0,0,0,0,0,0,0
152,5,9L,G2,AC_172,AC_111,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,2023-04-28,0,,,,X,0,0,0,0,0,0,0,1,0,0
152,5,9R,G1,AC_068,AC_056,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,2023-04-28,0,,,7.23,-,4,1,3,3,5,0.75,3.75,1,1,1
153,5,10L,G1,AC_094,AC_217,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,0,,,4.3,-,1,2,0,2,3,0,0,1,1,0
153,5,10R,G1,AC_097,AC_064,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,1,,,18.85,-,5,1,16,23,6,3.2,19.2,1,1,1
154,5,11L,G2,AC_097,AC_064,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,1,,,32,X,11,0,18,27,11,1.636363636,18,1,1,1
154,5,11R,G1,AC_207,AC_070,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,2,,,3.32,-,2,0,3,6,2,1.5,3,1,1,1
155,5,12R,G1,AC_168,AC_142,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,2023-04-28,0,,,,-,0,0,0,0,0,0,0,1,0,0
