Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
11,1,11R,G1,HR_157,HR_095,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
11,1,11R,G1,HR_157,HR_095,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
11,1,11R,G1,HR_157,HR_095,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
11,1,11R,G1,HR_157,HR_095,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
12,1,12L,G1,HR_115,HR_111,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-05,,,,,,
12,1,12L,G1,HR_115,HR_111,2,FALSE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,,,2023-05-04,,,,2,,,,
12,1,12L,G1,HR_115,HR_111,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
12,1,12L,G1,HR_115,HR_111,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,16-May,
12,1,12L,G1,HR_115,HR_111,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,,
12,1,12R,G1,HR_008,HR_042,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-05,,,,,,
12,1,12R,G1,HR_008,HR_042,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,1-Jun,
12,1,12R,G1,HR_008,HR_042,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
12,1,12R,G1,HR_008,HR_042,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
12,1,12R,G1,HR_008,HR_042,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
13,1,13L,G2,HR_125,HR_086,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
13,1,13L,G2,HR_125,HR_086,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
13,1,13L,G2,HR_125,HR_086,3,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,,
13,1,13L,G2,HR_125,HR_086,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,16-May,
13,1,13L,G2,HR_125,HR_086,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-05,,,,,,
13,1,13R,G2,HR_115,HR_111,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,2023-04-20,2023-05-04,,,2023-04-20,,,,1-Jun,
13,1,13R,G2,HR_115,HR_111,2,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
13,1,13R,G2,HR_115,HR_111,3,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,2023-05-05,2023-04-05,,,,,
13,1,13R,G2,HR_115,HR_111,4,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
13,1,13R,G2,HR_115,HR_111,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
14,1,14L,G2,HR_149,HR_174,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,16-May,
14,1,14L,G2,HR_149,HR_174,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
14,1,14L,G2,HR_149,HR_174,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-16,,,,,,
14,1,14L,G2,HR_149,HR_174,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
14,1,14L,G2,HR_149,HR_174,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
14,1,14R,G1,HR_121,HR_105,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,16-May,
14,1,14R,G1,HR_121,HR_105,2,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,,
14,1,14R,G1,HR_121,HR_105,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
14,1,14R,G1,HR_121,HR_105,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
14,1,14R,G1,HR_121,HR_105,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
15,1,15L,G2,HR_141,HR_044,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
15,1,15L,G2,HR_141,HR_044,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
15,1,15L,G2,HR_141,HR_044,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,1-Jun,
15,1,15L,G2,HR_141,HR_044,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
15,1,15L,G2,HR_141,HR_044,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-16,,,,,,
15,1,15R,G2,HR_085,HR_107,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
15,1,15R,G2,HR_085,HR_107,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,,
15,1,15R,G2,HR_085,HR_107,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
15,1,15R,G2,HR_085,HR_107,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
