Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
9,1,9L,G1,BO_039,BO_200,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9L,G1,BO_039,BO_200,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9L,G1,BO_039,BO_200,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9L,G1,BO_039,BO_200,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9R,G1,BO_151,BO_056,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9R,G1,BO_151,BO_056,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9R,G1,BO_151,BO_056,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9R,G1,BO_151,BO_056,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9R,G1,BO_151,BO_056,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10L,G1,BO_185,BO_085,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10L,G1,BO_185,BO_085,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10L,G1,BO_185,BO_085,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10L,G1,BO_185,BO_085,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10L,G1,BO_185,BO_085,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10R,G2,BO_065,BO_078,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10R,G2,BO_065,BO_078,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10R,G2,BO_065,BO_078,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10R,G2,BO_065,BO_078,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
10,1,10R,G2,BO_065,BO_078,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11L,G2,BO_101,BO_080,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11L,G2,BO_101,BO_080,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11L,G2,BO_101,BO_080,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11L,G2,BO_101,BO_080,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11L,G2,BO_101,BO_080,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11R,G1,BO_033,BO_099,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11R,G1,BO_033,BO_099,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11R,G1,BO_033,BO_099,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11R,G1,BO_033,BO_099,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
11,1,11R,G1,BO_033,BO_099,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12L,G2,BO_189,BO_126,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12L,G2,BO_189,BO_126,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12L,G2,BO_189,BO_126,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12L,G2,BO_189,BO_126,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12L,G2,BO_189,BO_126,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12R,G1,BO_163,BO_034,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12R,G1,BO_163,BO_034,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12R,G1,BO_163,BO_034,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12R,G1,BO_163,BO_034,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
12,1,12R,G1,BO_163,BO_034,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13L,G1,BO_177,BO_139,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13L,G1,BO_177,BO_139,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13L,G1,BO_177,BO_139,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13L,G1,BO_177,BO_139,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13L,G1,BO_177,BO_139,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13R,G2,BO_170,BO_045,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13R,G2,BO_170,BO_045,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13R,G2,BO_170,BO_045,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13R,G2,BO_170,BO_045,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
13,1,13R,G2,BO_170,BO_045,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14L,G1,BO_039,BO_087,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14L,G1,BO_039,BO_087,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14L,G1,BO_039,BO_087,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14L,G1,BO_039,BO_087,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,,2023-05-05,,,,15-Jun,
14,1,14L,G1,BO_039,BO_087,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14R,G2,BO_151,BO_056,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14R,G2,BO_151,BO_056,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14R,G2,BO_151,BO_056,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14R,G2,BO_151,BO_056,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
14,1,14R,G2,BO_151,BO_056,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15L,G2,BO_187,BO_031,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15L,G2,BO_187,BO_031,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15L,G2,BO_187,BO_031,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15L,G2,BO_187,BO_031,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15L,G2,BO_187,BO_031,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15R,G1,BO_153,BO_177,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15R,G1,BO_153,BO_177,2,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,,2023-05-17,,,,2023-05-17,,1,,15-Jun,
15,1,15R,G1,BO_153,BO_177,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15R,G1,BO_153,BO_177,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
15,1,15R,G1,BO_153,BO_177,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
