Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
130,5,6L,G2,BO_199,BO_069,4,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-01,15,,,,1,0,13.23,X,1,2,4,5,3,4,12,1,1,1
130,5,6R,G2,BO_188,BO_008,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,1.07,X,0,0,0,0,0,0,0,1,0,0
131,5,7R,G2,BO_001,BO_025,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,8.4,X,1,1,3,3,2,3,6,1,1,1
132,5,8L,G1,BO_143,BO_004,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,12.15,-,1,0,4,4,1,4,4,1,1,1
132,5,8R,G1,BO_119,BO_013,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,7.15,-,1,0,2,2,1,2,2,1,1,1
133,5,9L,G1,BO_033,BO_124,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,5.06,-,2,0,1,2,2,0.5,1,1,1,1
133,5,9R,G2,BO_194,BO_037,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,4.32,X,1,0,0,0,1,0,0,1,1,0
136,5,12L,G1,BO_070,BO_184,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,3.1,-,1,0,2,2,1,2,2,1,1,1
137,5,13L,G2,BO_058,BO_094,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,32,X,0,0,0,0,0,0,0,1,0,0
138,5,14L,G1,BO_058,BO_094,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,,-,2,0,4,6,2,2,4,1,1,1
140,5,16L,G1,BO_088,BO_169,3,TRUE,2022-10-31,2022-11-03,2023-06-01,213,210,2023-06-01,0,,2023-06-01,,,1,,-,0,0,0,0,0,0,0,1,0,0
140,5,16R,G1,BO_065,BO_078,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,4.95,-,3,1,15,15,4,5,20,1,1,1
