Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES
W1,BO_80,,NA,R,
W1,BO_82,"1,2,4",NA,R,
W1,BO_86,"6,4,8",NA,R,
W2,BO_126,"5,6,4",NA,R,
W2,BO_127,"1,7,4",NA,R,
W2,BO_130,"2,3",NA,R,
W2,BO_137,5,NA,R,
W2,BO_142,"5,3",NA,R,
W2,BO_149,3,NA,R,
W2,BO_151,"5,6,4",NA,R,
W2,BO_152,7,NA,R,
W2,BO_166,"1,2,7",NA,R,
W2,BO_182,"7,8",NA,R,
W2,BO_189,6,NA,R,
W2,BO_195,"1,2,4",NA,R,
W2,BO_199,"5,2,7",NA,R,
W2,BO_21,"1,5,8",NA,R,
W2,BO_24,"3,4",NA,R,
W2,BO_25,,NA,R,
W2,BO_4,"2,3,7",NA,R,
W2,BO_48,"1,8",NA,R,
W2,BO_80,4,NA,R,
W2,BO_82,"1,5,7",NA,R,
W2,BO_86,,NA,R,
