Block,Location,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES
2,92,BB_117,NA,NA,,
2,92,BB_160,8,8,,
2,92,BB_10,8,8,,
2,92,BB_80,8,8,,
2,93,BB_4,,NA,,
2,93,BB_172,,NA,,
2,93,BB_132,,NA,,
2,93,BB_138,2,2,,
2,94,BB_101,,NA,,
2,94,BB_94,3,3,,
2,94,BB_13,4,4,,
2,95,BB_201,,NA,,
2,95,BB_88,,NA,,
2,95,BB_63,7,7,,
2,96,BB_205 B,,NA,,
2,96,BB_98,,NA,,
2,96,BB_200,1,1,,
2,96,BB_44,3,3,,
2,97,BB_190,,NA,,
2,97,BB_71,1,1,,
2,97,BB_60,5,5,,
2,98,BB_86,3,3,,
2,98,BB_110,5,5,,
2,99,BB_59,2,2,R,
2,99,BB_192,4,4,,
2,99,BB_35,5,5,,
2,99,BB_205 A,6,6,,
W2,100,BB_32,,NA,R,
W2,100,BB_161,,NA,R,
W2,100,BB_85,"1,2,8",NA,R,
2,101,BB_97,,NA,,
2,101,BB_74,,NA,,
2,101,BB_21,3,3,,
2,102,BB_89,,NA,,
2,102,BB_34,,NA,,
2,102,BB_183,4,4,,
2,103,BB_215,2,2,,
2,103,BB_181,2,2,,
2,103,BB_30,6,6,,
2,103,BB_54,7,7,,
2,104,BB_170,1,1,,
2,104,BB_48,4,4,,
2,104,BB_46,4,4,,
2,105,BB_123,7,7,,
3,106,BB_71,2,2,,
3,106,BB_103,5,5,,
3,106,BB_72,5,5,,
3,107,BB_159,,NA,,
3,107,BB_181,,NA,,
3,107,BB_20,"3,7,8",3,R,
3,108,BB_215,,NA,,
3,108,BB_204,7,7,,
3,108,BB_186,8,8,,
3,109,BB_97,2,2,,
3,109,BB_87,3,3,,
3,109,BB_24,8,8,R,
W2,110,BB_77,"5,7,4",NA,R,
W2,110,BB_61,"6,4",NA,R,
W2,110,BB_187,"7,8",NA,R,
3,111,BB_69,1,1,,
3,111,BB_27,2,2,,
3,111,BB_127,7,7,,
3,112,BB_68,,NA,,
3,112,BB_151,1,1,,
3,112,BB_161,8,8,R,
3,112,BB_218,8,8,,
3,113,BB_30,4,4,,
3,113,BB_201,6,6,,
3,113,BB_118,6,6,R,
3,114,BB_126,,NA,,
3,114,BB_35,4,4,,
3,114,BB_32,"5,2,7",7,R,
3,115,BB_101,,NA,,
3,115,BB_77,"1,7,8",7,R,
3,115,BB_214,7,7,,
3,116,BB_149,5,5,,
3,116,BB_78,7,7,,
3,116,BB_64,8,8,,
3,117,BB_98,1,1,,
3,117,BB_190,3,3,,
3,117,BB_92,8,8,,
3,118,BB_2,4,4,,
3,118,BB_207,5,5,,
3,118,BB_34,8,8,,
3,119,BB_143,1,1,R,
3,119,BB_189,4,4,,
3,119,BB_86,5,5,,
W2,120,BB_24,"1,5,2",NA,R,
W2,120,BB_137,"2,6,8",NA,R,
W2,120,BB_17,"3,7,4",NA,R,
3,121,BB_88,1,1,,
3,121,BB_123,2,2,,
3,121,BB_109,7,7,,
3,121,BB_134,8,8,,
3,122,BB_120,1,1,,
3,122,BB_152,"2,3,4",2,R,
3,122,BB_21,5,5,,
3,123,BB_10,3,3,,
3,123,BB_18,5,5,,
3,123,BB_3,6,6,,
3,124,BB_42,4,4,,
3,124,BB_195,4,4,,
3,124,BB_74,6,6,,
3,124,BB_193,8,8,,
3,125,BB_44,2,2,,
3,125,BB_49,"5,2,4",2,R,
3,125,BB_131,7,7,,
3,126,BB_205 B,,NA,,
3,126,BB_117,1,1,,
3,126,BB_172,3,3,,
3,126,BB_13,6,6,,
3,127,BB_206,5,5,,
3,127,BB_80,8,8,,
3,127,BB_60,8,8,,
3,128,BB_153,1,1,,
3,128,BB_183,2,2,,
3,128,BB_16,7,7,,
3,129,BB_58,1,1,,
3,129,BB_137,"2,3,8",2,R,
3,129,BB_89,8,8,,
W2,130,BB_185,"1,6,7",NA,R,
W2,130,BB_118,"5,6,4",NA,R,
W2,130,BB_105,"5,6,8",NA,R,
3,131,BB_19,4,4,,
3,131,BB_199,5,5,,
3,131,BB_170,7,7,,
3,131,BB_84,7,7,,
3,132,BB_121,,NA,,
3,132,BB_63,2,2,,
3,132,BB_79,6,6,R,
3,133,BB_133,3,3,,
3,133,BB_53,4,4,,
3,133,BB_135,8,8,,
3,134,BB_146,1,1,,
3,134,BB_85,"5,7,4",4,R,
3,134,BB_132,8,8,,
3,135,BB_208,,NA,,
3,135,BB_52,3,3,,
3,135,BB_45,6,6,,
