Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES,,
W1,HR_184,"2,6,4",NA,R,,,
W1,HR_40,"6,3,7",NA,R,,,
W1,HR_43,"1,2,7",NA,R,,,
W1,HR_44,"1,2,6",NA,R,,,
W1,HR_56,"1,6,3",NA,R,,,
W1,HR_59,"2,6,7",NA,R,,,
W1,HR_64,"2,4,8",NA,R,,,
W1,HR_71,"1,3,4",NA,R,,,
W1,HR_80,"1,2,8",NA,R,,,
W2,HR_101,"5,3,7",NA,R,,,
W2,HR_112,"5,2,3",NA,R,,,
W2,HR_119,"5,3,4",NA,R,,,
W2,HR_142,"5,6,8",NA,R,,,
W2,HR_145,"2,6,4",NA,R,,,
W2,HR_146,"1,7,8",NA,R,,,
W2,HR_148,"1,3,4",NA,R,,,
W2,HR_149,"2,7,4",NA,R,,,
W2,HR_15,"1,7,8",NA,R,,,
W2,HR_162,"1,2,3",NA,R,,,
W2,HR_17,"1,3,8",NA,R,,,
W2,HR_180,"2,4,8",NA,R,,,
W2,HR_184,"1,5,8",NA,R,,,
W2,HR_40,"1,5,7",NA,R,,,
W2,HR_43,"6,4,8",NA,R,,,
W2,HR_44,"3,7,4",NA,R,,,
W2,HR_56,"2,4,8",NA,R,,,
W2,HR_59,"1,5,6",NA,R,,,
W2,HR_64,"3,7,4",NA,R,,,
W2,HR_71,"3,4,8",NA,R,,,
W2,HR_80,"5,6",NA,R,,,
