Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated,NOTES,,,
7,AC_201,8,8,,,,,
7,AC_203,5,5,,,,,
7,AC_215,2,2,,,,,
7,AC_217,"2,9,10",10,R,,,,
7,AC_32,6,6,,,,,
7,AC_38,1,1,,,,,
7,AC_40,"1,7,4",4,R,,,,
7,AC_46,8,8,,,,,
7,AC_48,1,1,,,,,
7,AC_54,7,7,,,,,
7,AC_58,"3,9,5",3,R,,,,
7,AC_62,4,4,,,,,
7,AC_68,8,8,,,,,
7,AC_72,6,6,,,,,
7,AC_74,2,2,,,,,
7,AC_94,2,2,,,,,
7,AC_81,"6,3,8",6,R,,,,
7,AC_97,"1,7,10",1,R,,,,
8,AC_10,"8,10",8,,,,,
8,AC_114,8,8,,,,,
8,AC_131,7,7,,,,,
8,AC_133,3,3,,,,,
8,AC_136,3,3,,,,,
8,AC_14,5,5,,,,,
8,AC_144,2,2,,,,,
8,AC_148,5,5,,,,,
8,AC_15,3,3,,,,,
8,AC_154,10,10,,,,,
8,AC_158,5,5,,,,,
8,AC_159,7,7,,,,,
8,AC_16,6,6,,,,,
8,AC_179,1,1,,,,,
8,AC_181,10,10,,,,,
8,AC_182,3,3,,,,,
8,AC_185,6,6,,,,,
8,AC_191,,NA,,**No fitness plant ever selected?? Please review,,,
8,AC_192,1,1,,,,,
8,AC_195,5,5,,,,,
8,AC_199,4,4,,,,,
8,AC_200,7,7,,,,,
8,AC_206,7,7,,,,,
8,AC_208,"6,2,5",2,R,,,,
8,AC_211,7,7,,,,,
8,AC_213,4,4,,,,,
8,AC_5,6,6,,,,,
8,AC_51,7,7,,,,,
8,AC_52,9,9,,,,,
8,AC_56,6,6,,,,,
8,AC_66,1,1,,,,,
8,AC_70,"2,4,5",4,R,,,,
8,AC_82,"6,7,8",8,R,,,,
8,AC_86,1,1,,,,,
8,AC_88,2,2,,,,,
8,AC_92,2,2,,,,,
9,AC_109,"1,8,5",1,R,,,,
9,AC_11,2,2,,,,,
9,AC_110,10,10,,,,,
9,AC_115,1,1,,,,,
9,AC_118,2,2,,,,,
9,AC_119,6,6,,,,,
9,AC_123,10,10,,,,,
9,AC_142,10,10,,,,,
9,AC_147,4,4,,,,,
9,AC_151,1,1,,,,,
9,AC_152,6,6,,,,,
9,AC_153,9,9,,,,,
9,AC_155,5,5,,,,,
9,AC_168,9,9,,,,,
9,AC_187,"6,2,3",3,R,,,,
9,AC_188,7,7,,,,,
9,AC_189,"2,4,9",4,R,,,,
