Site: Angelo Coast 2021-22,,,,,,,,,,,
Block (1-3),Transect (1-9),Section (A/B),Sequence (1-321),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds plantable 2021,Number seeds per block
1,2,A,43,3,1,3,AC_161,AC_213,30,15,5
1,2,A,44,3,2,2,AC_177,AC_211,106,53,17.66666667
1,2,A,45,3,3,7,AC_168,AC_142,60,30,10
1,2,A,46,3,4,2,AC_125,AC_38,129,64,21.33333333
1,2,A,47,3,5,1,AC_179,AC_114,92,46,15.33333333
1,2,A,48,3,6,5,AC_186,AC_11,100,50,16.66666667
1,2,A,49,3,7,1,AC_002,AC_104,106,53,17.66666667
1,2,A,50,3,8,3,AC_159,AC_94,78,39,13
1,2,A,51,3,9,7,AC_169,AC_182,35,17,5.666666667
1,2,A,52,3,10,1,AC_179,AC_171,149,74,24.66666667
1,2,A,53,3,11,2,AC_061,AC_158,123,61,20.33333333
1,2,A,54,3,12,4,AC_97,AC_54,122,61,20.33333333
1,2,B,55,3,13,7,AC_107,AC_172,93,46,15.33333333
1,2,B,56,3,14,3,AC_102,AC_178,66,33,11
1,2,B,57,3,15,5,AC_165,AC_199,100,50,16.66666667
1,2,B,58,3,16,1,AC_198,AC_72,136,68,22.66666667
1,2,B,59,3,17,3,AC_159,AC_143,138,69,23
1,2,B,60,3,18,7,AC_45,AC_123,100,50,16.66666667
1,2,B,61,3,19,2,AC_061,AC_52,110,55,18.33333333
1,2,B,62,3,20,5,AC_124,AC_30,100,50,16.66666667
1,2,B,63,3,21,5,AC_103,AC_144,100,50,16.66666667
1,2,B,64,4,1,2,AC_207,AC_82,131,65,21.66666667
1,2,B,65,4,2,3,AC_47,AC_152,37,18,6
1,2,B,66,4,3,5,AC_71,AC_215,100,50,16.66666667
1,2,B,67,4,4,6,AC_160,AC_186,100,50,16.66666667
1,2,B,68,4,5,3,AC_170,AC_118,155,77,25.66666667
1,2,B,69,4,6,7,AC_168,AC_159,61,30,10
1,2,B,70,4,7,3,AC_68,AC_195,91,45,15
1,2,B,71,4,8,2,AC_039,AC_148,108,54,18
1,2,B,72,4,9,5,AC_165,AC_206,100,50,16.66666667
1,3,A,73,4,10,5,AC_64,AC_17,100,50,16.66666667
1,3,A,74,4,11,5,AC_124,AC_100,60,30,10
1,3,A,75,4,12,3,AC_8,AC_92,126,63,21
1,3,A,76,4,13,7,AC_168,AC_10,100,50,16.66666667
1,3,A,77,4,14,4,AC_89,AC_32,73,36,12
1,3,A,78,4,15,3,AC_15,AC_197,141,70,23.33333333
1,3,A,79,4,16,5,AC_172,AC_208,100,50,16.66666667
1,3,A,80,4,17,3,AC_47,AC_113,133,66,22
1,3,A,81,4,18,7,AC_169,AC_75,100,50,16.66666667
1,3,A,82,4,19,1,AC_156,AC_16,130,65,21.66666667
1,3,A,83,4,20,6,AC_195,AC_179,100,50,16.66666667
1,3,A,84,4,21,1,AC_007,AC_187,230,115,38.33333333
1,3,A,85,5,1,3,AC_8,AC_188,126,63,21
